Date,Open,High,Low,Close,Volume,OpenInt
2017-06-22,4.75,5.2,4.75,4.92,449411,0
2017-06-23,4.89,5.0652,4.81,4.95,80877,0
2017-06-26,5.1,5.1,4.82,4.85,147869,0
2017-06-27,4.82,4.904,4.76,4.8,30732,0
2017-06-28,4.8,4.9499,4.75,4.9,43465,0
2017-06-29,4.9,5.2,4.3,4.42,639547,0
2017-06-30,4.6,4.7,4.6,4.7,74048,0
2017-07-03,4.65,4.69,4.52,4.67,40289,0
2017-07-05,4.6,4.81,4.51,4.79,52727,0
2017-07-06,5,5.03,4.61,4.78,194015,0
2017-07-07,4.72,5.08,4.55,4.87,264524,0
2017-07-10,4.95,5.85,4.8,5.04,1187092,0
2017-07-11,4.99,5.1,4.8501,5.05,63967,0
2017-07-12,4.99,5.1017,4.68,4.95,64750,0
2017-07-13,4.9,4.9,4.6,4.84,98004,0
2017-07-14,4.81,4.8304,4.75,4.76,12837,0
2017-07-17,4.8,4.856,4.695,4.85,21364,0
2017-07-18,4.86,4.86,4.45,4.52,110918,0
2017-07-19,4.51,4.63,4.33,4.35,72555,0
2017-07-20,4.37,4.37,4.06,4.21,100725,0
2017-07-21,4.25,4.5,4.25,4.36,42310,0
2017-07-24,4.32,4.59,4.316,4.4,83484,0
2017-07-25,4.33,4.33,4.18,4.25,23313,0
2017-07-26,4.19,4.26,3.8,3.83,50266,0
2017-07-27,3.9,4.15,3.84,4.045,41145,0
2017-07-28,4.1,4.29,3.7,3.75,64385,0
2017-07-31,3.84,3.9428,3.75,3.9,27872,0
2017-08-01,3.86,3.95,3.8,3.8,57363,0
2017-08-02,3.8,3.9,3.8,3.86,18534,0
2017-08-03,3.8,3.9,3.8,3.82,31403,0
2017-08-04,3.96,4.15,3.854,4.05,43829,0
2017-08-07,4.1,4.2826,3.9436,3.95,53502,0
2017-08-08,3.9,4.16,3.9,4.15,8701,0
2017-08-09,4.0945,4.5,4.0945,4.5,17735,0
2017-08-10,4.49,4.49,3.81,4.38,25121,0
2017-08-11,3.97,4.38,3.952,4.02,5661,0
2017-08-14,4.09,4.44,3.9,4.41,41228,0
2017-08-15,4.44,4.44,4.2,4.4,14679,0
2017-08-16,4.39,4.39,3.98,4.17,38995,0
2017-08-17,4.12,4.33,3.93,3.99,31603,0
2017-08-18,3.99,4.2,3.8,3.905,48490,0
2017-08-21,3.9,4.08,3.8,3.85,22747,0
2017-08-22,3.86,3.94,3.8,3.94,10094,0
2017-08-23,3.943,3.9685,3.9372,3.94,10631,0
2017-08-24,3.9,3.9301,3.8,3.89,9693,0
2017-08-25,3.85,3.85,3.8,3.81,5711,0
2017-08-28,3.85,3.89,3.75,3.8,42403,0
2017-08-29,3.84,3.85,3.81,3.85,4444,0
2017-08-30,3.8476,3.8476,3.8,3.8,12939,0
2017-08-31,3.85,3.85,3.8,3.85,4053,0
2017-09-01,3.819,3.83,3.8,3.81,7082,0
2017-09-05,3.82,4.15,3.8,4,17360,0
2017-09-06,3.86,4.19,3.86,4.19,11612,0
2017-09-07,4.2,4.7,4.13,4.35,67510,0
2017-09-08,4.56,4.93,4.3001,4.78,46292,0
2017-09-11,4.5,5.1,4.5,4.74,56860,0
2017-09-12,4.77,5.02,4.759,4.97,58788,0
2017-09-13,4.99,5,4.8496,4.97,25687,0
2017-09-14,4.93,4.99,4.88,4.94,23858,0
2017-09-15,4.7824,4.95,4.49,4.49,21591,0
2017-09-18,4.49,4.9,4.36,4.65,35472,0
2017-09-19,4.68,4.7,4.55,4.55,36311,0
2017-09-20,4.6,4.7,4.5,4.7,21120,0
2017-09-22,4.86,4.9,4.74,4.9,14740,0
2017-09-25,4.99,4.99,4.6,4.72,51693,0
2017-09-26,4.7014,4.7014,4.6,4.6,6258,0
2017-09-27,4.67,4.67,4.37,4.49,27850,0
2017-09-28,4.37,4.37,4.25,4.32,6995,0
2017-09-29,4.36,4.4522,4.3014,4.31,6436,0
2017-10-02,4.3,4.35,4.2,4.3,17013,0
2017-10-03,4.6,5.4792,4.6,5.28,268431,0
2017-10-04,5.4,5.9,5.382,5.6,172308,0
2017-10-05,5.6,6.21,5.5,5.6,153355,0
2017-10-06,5.5,5.59,5.31,5.4,24805,0
2017-10-09,5.2855,5.63,5.1,5.44,43687,0
2017-10-10,5.7,5.99,5.3711,5.4,54480,0
2017-10-11,5.39,5.4,5.14,5.16,8747,0
2017-10-12,5.11,5.534,5.11,5.38,12236,0
2017-10-13,5.4,5.4,5.23,5.34,14544,0
2017-10-16,5.47,5.7,5.25,5.43,51860,0
2017-10-17,5.7,5.7,5.3101,5.65,18306,0
2017-10-18,5.696,6.4,5.6,6.18,182949,0
2017-10-19,6.18,6.2631,5.7562,5.89,41679,0
2017-10-20,5.99,5.99,5.89,5.9328,6149,0
2017-10-23,6.01,6.479,5.95,6,89920,0
2017-10-24,6.1,6.9989,6,6.37,79732,0
2017-10-25,6.34,6.544,5.94,6.027,64664,0
2017-10-26,6.08,6.09,5.7611,6,41449,0
2017-10-27,5.93,6.11,5.87,5.97,25540,0
2017-10-30,5.9,5.94,5.75,5.82,11262,0
2017-10-31,5.8083,5.8471,5.6,5.61,23848,0
2017-11-01,5.6,5.65,5.11,5.26,47167,0
2017-11-02,5.2,5.57,5.2,5.57,31582,0
2017-11-03,5.57,5.67,5.32,5.62,57281,0
2017-11-06,5.58,5.67,5.36,5.6,19707,0
2017-11-07,5.6,5.64,5.45,5.6,7496,0
2017-11-08,5.56,5.64,5.45,5.6,10289,0
2017-11-09,5.45,5.5999,5.2069,5.58,12574,0
2017-11-10,5.53,5.5855,5.21,5.42,5195,0
2017-11-13,5.56,5.56,5.26,5.44,14180,0
2017-11-14,5.25,5.4,5.21,5.37,31745,0
2017-11-15,5.211,5.5384,5.21,5.22,27869,0
2017-11-16,5.215,5.31,5.21,5.21,9954,0
2017-11-17,5.22,5.3522,5.21,5.22,4297,0
2017-11-20,5.2361,5.33,5.08,5.08,13993,0
2017-11-21,5.06,5.5,5,5.35,28269,0
2017-11-22,5.4,5.4583,5.23,5.24,16400,0
2017-11-24,5.34,5.34,5.22,5.29,2338,0
2017-11-27,5.25,5.25,5.11,5.11,6235,0
2017-11-28,5.1,5.1867,4.87,5.11,11118,0
2017-11-29,5.06,5.06,4.8276,4.87,8079,0
2017-11-30,5.05,5.16,5,5.09,11382,0
2017-12-01,4.9761,5.0958,4.95,5.03,9176,0
2017-12-04,5.04,5.2,5,5.18,6366,0
2017-12-05,5.17,5.19,5.09,5.19,5658,0
