Date,Open,High,Low,Close,Volume,OpenInt
1989-01-03,8.3125,8.3125,8.3125,8.3125,0,0
1989-01-04,8.375,8.375,8.375,8.375,0,0
1989-01-05,8.375,8.375,8.375,8.375,0,0
1989-01-06,8.375,8.375,8.375,8.375,0,0
1989-01-09,8.5,8.5,8.5,8.5,0,0
1989-01-10,8.4375,8.4375,8.4375,8.4375,0,0
1989-01-11,8.375,8.375,8.375,8.375,0,0
1989-01-12,8.375,8.375,8.375,8.375,0,0
1989-01-13,8.375,8.375,8.375,8.375,0,0
1989-01-16,8.375,8.375,8.375,8.375,0,0
1989-01-17,8.4063,8.4063,8.4063,8.4063,0,0
1989-01-18,8.5,8.5,8.5,8.5,0,0
1989-01-19,8.5156,8.5156,8.5156,8.5156,0,0
1989-01-20,8.4375,8.4375,8.4375,8.4375,0,0
1989-01-23,8.5,8.5,8.5,8.5,0,0
1989-01-24,8.5,8.5,8.5,8.5,0,0
1989-01-25,8.5156,8.5156,8.5156,8.5156,0,0
1989-01-26,8.5469,8.5469,8.5469,8.5469,0,0
1989-01-27,8.625,8.625,8.625,8.625,0,0
1989-01-30,8.6094,8.6094,8.6094,8.6094,0,0
1989-01-31,8.6875,8.6875,8.6875,8.6875,0,0
1989-02-01,8.6875,8.6875,8.6875,8.6875,0,0
1989-02-02,8.75,8.75,8.75,8.75,0,0
1989-02-03,8.75,8.75,8.75,8.75,0,0
1989-02-06,8.8125,8.8125,8.8125,8.8125,0,0
1989-02-07,8.875,8.875,8.875,8.875,0,0
1989-02-08,8.875,8.875,8.875,8.875,0,0
1989-02-09,8.875,8.875,8.875,8.875,0,0
1989-02-10,8.8125,8.8125,8.8125,8.8125,0,0
1989-02-13,8.9844,8.9844,8.9844,8.9844,0,0
1989-02-14,9.0625,9.0625,9.0625,9.0625,0,0
1989-02-15,9.1875,9.1875,9.1875,9.1875,0,0
1989-02-16,9.0625,9.0625,9.0625,9.0625,0,0
1989-02-17,9.0625,9.0625,9.0625,9.0625,0,0
1989-02-20,9.1094,9.1094,9.1094,9.1094,0,0
1989-02-21,9.1719,9.1719,9.1719,9.1719,0,0
1989-02-22,9.3125,9.3125,9.3125,9.3125,0,0
1989-02-23,9.5,9.5,9.5,9.5,0,0
1989-02-24,9.563,9.563,9.563,9.563,0,0
1989-02-27,9.75,9.75,9.75,9.75,0,0
1989-02-28,9.656,9.656,9.656,9.656,0,0
1989-03-01,9.563,9.563,9.563,9.563,0,0
1989-03-02,9.625,9.625,9.625,9.625,0,0
1989-03-03,9.4063,9.4063,9.4063,9.4063,0,0
1989-03-06,9.3594,9.3594,9.3594,9.3594,0,0
1989-03-07,9.1875,9.1875,9.1875,9.1875,0,0
1989-03-08,9.25,9.25,9.25,9.25,0,0
1989-03-09,9.3594,9.3594,9.3594,9.3594,0,0
1989-03-10,9.375,9.375,9.375,9.375,0,0
1989-03-13,9.5,9.5,9.5,9.5,0,0
1989-03-14,9.4375,9.4375,9.4375,9.4375,0,0
1989-03-15,9.2656,9.2656,9.2656,9.2656,0,0
1989-03-16,9.2969,9.2969,9.2969,9.2969,0,0
1989-03-17,9.25,9.25,9.25,9.25,0,0
1989-03-20,9.4375,9.4375,9.4375,9.4375,0,0
1989-03-21,9.4375,9.4375,9.4375,9.4375,0,0
1989-03-22,9.375,9.375,9.375,9.375,0,0
1989-03-23,9.375,9.375,9.375,9.375,0,0
1989-03-28,9.4531,9.4531,9.4531,9.4531,0,0
1989-03-29,9.5,9.5,9.5,9.5,0,0
1989-03-30,9.375,9.375,9.375,9.375,0,0
1989-03-31,9.375,9.375,9.375,9.375,0,0
1989-04-03,9.375,9.375,9.375,9.375,0,0
1989-04-04,9.25,9.25,9.25,9.25,0,0
1989-04-05,9.1875,9.1875,9.1875,9.1875,0,0
1989-04-06,9.1875,9.1875,9.1875,9.1875,0,0
1989-04-07,9.1875,9.1875,9.1875,9.1875,0,0
1989-04-10,9.25,9.25,9.25,9.25,0,0
1989-04-11,9.25,9.25,9.25,9.25,0,0
1989-04-12,9.25,9.25,9.25,9.25,0,0
1989-04-13,9.25,9.25,9.25,9.25,0,0
1989-04-14,9.3125,9.3125,9.3125,9.3125,0,0
1989-04-17,9.125,9.125,9.125,9.125,0,0
1989-04-18,9.125,9.125,9.125,9.125,0,0
1989-04-19,9,9,9,9,0,0
1989-04-20,8.9375,8.9375,8.9375,8.9375,0,0
1989-04-21,9.2188,9.2188,9.2188,9.2188,0,0
1989-04-24,9.1875,9.1875,9.1875,9.1875,0,0
1989-04-25,9.1875,9.1875,9.1875,9.1875,0,0
1989-04-26,9.25,9.25,9.25,9.25,0,0
1989-04-27,9.2188,9.2188,9.2188,9.2188,0,0
1989-04-28,9.1875,9.1875,9.1875,9.1875,0,0
1989-05-02,9.3125,9.3125,9.3125,9.3125,0,0
1989-05-03,9.25,9.25,9.25,9.25,0,0
1989-05-04,9.25,9.25,9.25,9.25,0,0
1989-05-05,9.25,9.25,9.25,9.25,0,0
1989-05-08,9.3125,9.3125,9.3125,9.3125,0,0
1989-05-09,9.3125,9.3125,9.3125,9.3125,0,0
1989-05-10,9.3125,9.3125,9.3125,9.3125,0,0
1989-05-11,9.2656,9.2656,9.2656,9.2656,0,0
1989-05-12,9.3125,9.3125,9.3125,9.3125,0,0
1989-05-15,9.25,9.25,9.25,9.25,0,0
1989-05-16,9.2656,9.2656,9.2656,9.2656,0,0
1989-05-17,9.375,9.375,9.375,9.375,0,0
1989-05-18,9.375,9.375,9.375,9.375,0,0
1989-05-19,9.3125,9.3125,9.3125,9.3125,0,0
1989-05-22,9.375,9.375,9.375,9.375,0,0
1989-05-23,9.375,9.375,9.375,9.375,0,0
1989-05-24,9.4375,9.4375,9.4375,9.4375,0,0
1989-05-25,9.4375,9.4375,9.4375,9.4375,0,0
1989-05-26,9.625,9.625,9.625,9.625,0,0
1989-05-30,9.563,9.563,9.563,9.563,0,0
1989-05-31,9.625,9.625,9.625,9.625,0,0
1989-06-01,9.5,9.5,9.5,9.5,0,0
1989-06-02,9.4375,9.4375,9.4375,9.4375,0,0
1989-06-05,9.25,9.25,9.25,9.25,0,0
1989-06-06,9.3125,9.3125,9.3125,9.3125,0,0
1989-06-07,9.25,9.25,9.25,9.25,0,0
1989-06-08,9.25,9.25,9.25,9.25,0,0
1989-06-09,9.25,9.25,9.25,9.25,0,0
1989-06-12,9.3281,9.3281,9.3281,9.3281,0,0
1989-06-13,9.4375,9.4375,9.4375,9.4375,0,0
1989-06-14,9.375,9.375,9.375,9.375,0,0
1989-06-15,9.4531,9.4531,9.4531,9.4531,0,0
1989-06-16,9.375,9.375,9.375,9.375,0,0
1989-06-19,9.5,9.5,9.5,9.5,0,0
1989-06-20,9.4219,9.4219,9.4219,9.4219,0,0
1989-06-21,9.4063,9.4063,9.4063,9.4063,0,0
1989-06-22,9.4375,9.4375,9.4375,9.4375,0,0
1989-06-23,9.4375,9.4375,9.4375,9.4375,0,0
1989-06-26,9.4219,9.4219,9.4219,9.4219,0,0
1989-06-27,9.5,9.5,9.5,9.5,0,0
1989-06-28,9.594,9.594,9.594,9.594,0,0
1989-06-29,9.719,9.719,9.719,9.719,0,0
1989-06-30,9.813,9.813,9.813,9.813,0,0
1989-07-03,9.813,9.813,9.813,9.813,0,0
1989-07-04,9.75,9.75,9.75,9.75,0,0
1989-07-05,9.625,9.625,9.625,9.625,0,0
1989-07-06,9.563,9.563,9.563,9.563,0,0
1989-07-07,9.563,9.563,9.563,9.563,0,0
1989-07-10,9.563,9.563,9.563,9.563,0,0
1989-07-11,9.4844,9.4844,9.4844,9.4844,0,0
1989-07-12,9.4375,9.4375,9.4375,9.4375,0,0
1989-07-13,9.375,9.375,9.375,9.375,0,0
1989-07-14,9.375,9.375,9.375,9.375,0,0
1989-07-17,9.4375,9.4375,9.4375,9.4375,0,0
1989-07-18,9.4375,9.4375,9.4375,9.4375,0,0
1989-07-19,9.4375,9.4375,9.4375,9.4375,0,0
1989-07-20,9.4375,9.4375,9.4375,9.4375,0,0
1989-07-21,9.4375,9.4375,9.4375,9.4375,0,0
1989-07-24,9.4219,9.4219,9.4219,9.4219,0,0
1989-07-25,9.375,9.375,9.375,9.375,0,0
1989-07-26,9.375,9.375,9.375,9.375,0,0
1989-07-27,9.25,9.25,9.25,9.25,0,0
1989-07-28,9.2656,9.2656,9.2656,9.2656,0,0
1989-07-31,9.25,9.25,9.25,9.25,0,0
1989-08-01,9.2031,9.2031,9.2031,9.2031,0,0
1989-08-02,9.1875,9.1875,9.1875,9.1875,0,0
1989-08-03,9.1875,9.1875,9.1875,9.1875,0,0
1989-08-04,9.2031,9.2031,9.2031,9.2031,0,0
1989-08-07,9.3125,9.3125,9.3125,9.3125,0,0
1989-08-08,9.3125,9.3125,9.3125,9.3125,0,0
1989-08-09,9.25,9.25,9.25,9.25,0,0
