Date,Open,High,Low,Close,Volume,OpenInt
2006-01-02,2670.93,2684.35,2616.73,2616.73,14822116,0
2006-01-03,2608.31,2612.76,2550.11,2564.42,20960700,0
2006-01-04,2527.79,2541.26,2490.52,2490.52,22948596,0
2006-01-05,2489.06,2507.47,2482.82,2494.37,18082740,0
2006-01-06,2488.34,2507.36,2450.03,2469.81,20954744,0
2006-01-09,2443.05,2487.84,2416.74,2487.84,22216212,0
2006-01-10,2488.52,2522.19,2478.88,2522.19,16059518,0
2006-01-11,2493.17,2501.4,2462.27,2474.78,17284616,0
2006-01-12,2480.19,2506.15,2479.52,2490.31,13197111,0
2006-01-13,2527.64,2541.47,2520.92,2532.78,13270874,0
2006-01-16,2539.02,2544.24,2486.11,2489.5,13500326,0
2006-01-17,2493.39,2508.13,2480.24,2493.72,14326784,0
2006-01-18,2547.99,2550.38,2510.84,2513.97,9954206,0
2006-01-19,2495.29,2497.56,2429.48,2445.06,17665508,0
2006-01-20,2434.37,2438.81,2416.17,2425.94,13461621,0
2006-01-23,2464.78,2479.4,2422.21,2432.4,12622758,0
2006-01-24,2419.56,2447.63,2402.31,2430.13,14633975,0
2006-01-25,2399.45,2415.61,2385.44,2391.72,26588866,0
2006-01-26,2374.37,2422.43,2374.37,2416.7,17501428,0
2006-01-27,2403.3,2440.16,2392.39,2405.71,11576996,0
2006-01-30,2408.01,2424.53,2396.96,2407.3,7804766,0
2006-01-31,2419.18,2517.76,2419.18,2516.81,16496757,0
2006-02-01,2555.06,2558.91,2498.56,2501.11,11889880,0
2006-02-02,2479.91,2513.53,2476.09,2505.1,12453365,0
2006-02-03,2518.7,2564.15,2510.75,2557.77,10703971,0
2006-02-06,2540.79,2540.79,2486.3,2488.42,8625605,0
2006-02-07,2477.49,2512.92,2472.56,2475.77,8599434,0
2006-02-08,2508.4,2539.45,2484.61,2497.21,7871797,0
2006-02-09,2478.9,2493.4,2467.52,2487.46,8758296,0
2006-02-10,2496.95,2536.73,2489.47,2530.52,9347804,0
2006-02-13,2561.25,2561.88,2524.21,2553.84,8605026,0
2006-02-14,2530.56,2544.46,2518.32,2533.82,7872946,0
2006-02-15,2518.73,2538.82,2513.05,2513.05,8886666,0
2006-02-16,2512.79,2559.16,2507.36,2559.16,12858643,0
2006-02-17,2543.28,2550.86,2468.23,2470.21,17637644,0
2006-02-20,2455.1,2464.59,2419.65,2431.54,12864309,0
2006-02-21,2425.16,2452.99,2423.56,2439.39,10189110,0
2006-02-22,2437.5,2453.75,2427.74,2441.35,9005848,0
2006-02-23,2441.88,2447.55,2427.31,2438.7,12752919,0
2006-02-24,2435.38,2441.78,2404.18,2404.27,7952180,0
2006-02-27,2396.54,2415.74,2386.32,2394.26,20576676,0
2006-02-28,2445.85,2509.08,2415.41,2491.31,18530720,0
2006-03-01,2471.96,2488.81,2451.46,2457.09,17440836,0
2006-03-02,2447.12,2464.85,2425.88,2433.3,17568678,0
2006-03-03,2425.78,2484.12,2421.74,2449.02,16246359,0
2006-03-06,2448.25,2466.66,2431.76,2431.76,13656693,0
2006-03-07,2449.42,2525.05,2449.42,2487.64,19536056,0
