Date,Open,High,Low,Close,Volume,OpenInt
2004-12-31,1960.57,1960.57,1960.57,1960.57,2925638,0
2005-01-03,1966.69,1966.69,1966.69,1966.69,6689831,0
2005-01-04,1954.8,1954.8,1954.8,1954.8,6351533,0
2005-01-05,1910.33,1910.33,1910.33,1910.33,8513079,0
2005-01-06,1897.29,1897.29,1897.29,1897.29,7933010,0
2005-01-07,1903.83,1903.83,1903.83,1903.83,7456987,0
2005-01-10,1889.81,1889.81,1889.81,1889.81,6444082,0
2005-01-11,1877.82,1877.82,1877.82,1877.82,7982806,0
2005-01-12,1885.8,1885.8,1885.8,1885.8,8179997,0
2005-01-13,1890.18,1890.18,1890.18,1890.18,10002598,0
2005-01-14,1890.03,1890.03,1890.03,1890.03,5962951,0
2005-01-17,1893.39,1893.39,1893.39,1893.39,4861248,0
2005-01-18,1844.02,1844.02,1844.02,1844.02,6461942,0
2005-01-19,1845.48,1845.48,1845.48,1845.48,10034268,0
2005-01-20,1840.71,1840.71,1840.71,1840.71,10017356,0
2005-01-21,1832.12,1832.12,1832.12,1832.12,4221002,0
2005-01-24,1832.79,1832.79,1832.79,1832.79,4094298,0
2005-01-25,1851.06,1851.06,1851.06,1851.06,6995026,0
2005-01-26,1861.93,1861.93,1861.93,1861.93,6875596,0
2005-01-27,1863.92,1863.92,1863.92,1863.92,10573658,0
2005-01-28,1872.2,1872.2,1872.2,1872.2,8057542,0
2005-01-31,1887.41,1887.41,1887.41,1887.41,4824796,0
2005-02-01,1916.14,1916.14,1916.14,1916.14,9774373,0
2005-02-02,1903.36,1903.36,1903.36,1903.36,8574165,0
2005-02-03,1910.72,1910.72,1910.72,1910.72,8022590,0
2005-02-04,1935.65,1935.65,1935.65,1935.65,10047305,0
2005-02-07,1966.72,1966.72,1966.72,1966.72,8780699,0
2005-02-08,1963.48,1963.48,1963.48,1963.48,8941076,0
2005-02-09,1951.05,1951.05,1951.05,1951.05,8092167,0
2005-02-10,1967.09,1967.09,1967.09,1967.09,10822382,0
2005-02-11,1964.42,1964.42,1964.42,1964.42,6627152,0
2005-02-14,1960.81,1960.81,1960.81,1960.81,5024804,0
2005-02-15,1973.93,1973.93,1973.93,1973.93,9228744,0
2005-02-16,2021.15,2021.15,2021.15,2021.15,16464288,0
2005-02-17,2045.06,2045.06,2045.06,2045.06,15600730,0
2005-02-18,2045.66,2045.66,2045.66,2045.66,13162549,0
2005-02-21,2076.89,2076.89,2076.89,2076.89,10228696,0
2005-02-22,2062.32,2062.32,2062.32,2062.32,10487199,0
2005-02-23,2054.25,2054.25,2054.25,2054.25,7058554,0
2005-02-24,2075.98,2075.98,2075.98,2075.98,8534845,0
2005-02-25,2118.49,2118.49,2118.49,2118.49,19865386,0
2005-02-28,2092.33,2092.33,2092.33,2092.33,12145711,0
2005-03-01,2088.8,2088.8,2088.8,2088.8,10414345,0
2005-03-02,2015.14,2015.14,2015.14,2015.14,10110594,0
2005-03-03,2028.54,2028.54,2028.54,2028.54,12334312,0
2005-03-04,2052.94,2052.94,2052.94,2052.94,11294100,0
2005-03-07,2063.67,2063.67,2063.67,2063.67,7887624,0
2005-03-08,2053.34,2053.34,2053.34,2053.34,8650096,0
2005-03-09,2092.51,2092.51,2092.51,2092.51,17777634,0
2005-03-10,2065.11,2065.11,2065.11,2065.11,9080618,0
2005-03-11,2033.63,2033.63,2033.63,2033.63,6983147,0
2005-03-14,2011.62,2011.62,2011.62,2011.62,6237948,0
2005-03-15,2013.09,2013.09,2013.09,2013.09,7995441,0
2005-03-16,1963.92,1963.92,1963.92,1963.92,15297273,0
2005-03-17,1951.88,1951.88,1951.88,1951.88,12490653,0
2005-03-18,1970.17,1970.17,1970.17,1970.17,9421231,0
2005-03-21,1932.68,1932.68,1932.68,1932.68,7229467,0
2005-03-22,1971.52,1971.52,1971.52,1971.52,7594402,0
2005-03-23,1965.88,1965.88,1965.88,1965.88,7953248,0
2005-03-24,1970.4,1970.4,1970.4,1970.4,7837904,0
2005-03-29,1971.25,1971.25,1971.25,1971.25,4033168,0
2005-03-30,1981.08,1981.08,1981.08,1981.08,5812719,0
2005-03-31,1999.87,1999.87,1999.87,1999.87,9357065,0
2005-04-01,1990.16,1990.16,1990.16,1990.16,6418373,0
2005-04-04,1986.92,1986.92,1986.92,1986.92,5956094,0
2005-04-05,2002.09,2002.09,2002.09,2002.09,5474468,0
2005-04-06,2019.06,2019.06,2019.06,2019.06,6705532,0
2005-04-07,1994.44,1994.44,1994.44,1994.44,7189746,0
2005-04-11,1998.05,1998.05,1998.05,1998.05,6011517,0
2005-04-12,1995.26,1995.26,1995.26,1995.26,3384689,0
2005-04-13,1988.77,1988.77,1988.77,1988.77,7733146,0
2005-04-14,1968.24,1968.24,1968.24,1968.24,7763121,0
2005-04-15,1955.47,1955.47,1955.47,1955.47,3754042,0
2005-04-18,1911.99,1911.99,1911.99,1911.99,6533120,0
2005-04-19,1912.57,1912.57,1912.57,1912.57,7006783,0
2005-04-20,1893.19,1893.19,1893.19,1893.19,6994330,0
2005-04-21,1921.34,1921.34,1921.34,1921.34,8484776,0
2005-04-22,1934.43,1934.43,1934.43,1934.43,4742392,0
2005-04-25,1935.34,1935.34,1935.34,1935.34,6940887,0
2005-04-26,1914.63,1914.63,1914.63,1914.63,6117436,0
2005-04-27,1881.28,1881.28,1881.28,1881.28,6313489,0
2005-04-28,1859.92,1859.92,1859.92,1859.92,7205383,0
2005-04-29,1863.7,1863.7,1863.7,1863.7,5826508,0
2005-05-02,1866.07,1866.07,1866.07,1866.07,1863153,0
2005-05-04,1866.87,1866.87,1866.87,1866.87,7172710,0
2005-05-05,1878.02,1878.02,1878.02,1878.02,8848001,0
2005-05-06,1878.79,1878.79,1878.79,1878.79,8421998,0
2005-05-09,1873.57,1873.57,1873.57,1873.57,12641307,0
2005-05-10,1841.75,1841.75,1841.75,1841.75,7265584,0
2005-05-11,1853.09,1853.09,1853.09,1853.09,6747527,0
2005-05-12,1862.96,1862.96,1862.96,1862.96,6262811,0
2005-05-13,1844.54,1844.54,1844.54,1844.54,8277244,0
2005-05-16,1841.28,1841.28,1841.28,1841.28,3501285,0
2005-05-17,1851.32,1851.32,1851.32,1851.32,11352496,0
2005-05-18,1889.1,1889.1,1889.1,1889.1,11577523,0
2005-05-19,1897.58,1897.58,1897.58,1897.58,7301974,0
2005-05-20,1905.97,1905.97,1905.97,1905.97,6637763,0
2005-05-23,1904.91,1904.91,1904.91,1904.91,4767424,0
2005-05-24,1895.05,1895.05,1895.05,1895.05,7481360,0
2005-05-25,1897.67,1897.67,1897.67,1897.67,5586634,0
2005-05-27,1937.75,1937.75,1937.75,1937.75,6155256,0
2005-05-30,1941.19,1941.19,1941.19,1941.19,6336050,0
2005-05-31,1939.8,1939.8,1939.8,1939.8,7805599,0
2005-06-01,1917.27,1917.27,1917.27,1917.27,7047238,0
2005-06-02,1944.38,1944.38,1944.38,1944.38,8050825,0
2005-06-03,1963.14,1963.14,1963.14,1963.14,6224062,0
2005-06-06,1992.83,1992.83,1992.83,1992.83,6277470,0
2005-06-07,2003.34,2003.34,2003.34,2003.34,8931584,0
2005-06-08,1996.29,1996.29,1996.29,1996.29,9070799,0
2005-06-09,2006.7,2006.7,2006.7,2006.7,6380427,0
2005-06-10,2013.28,2013.28,2013.28,2013.28,8568856,0
2005-06-13,2026.5,2026.5,2026.5,2026.5,8393373,0
2005-06-14,2004.41,2004.41,2004.41,2004.41,5316179,0
2005-06-15,2035.21,2035.21,2035.21,2035.21,8464234,0
2005-06-16,2034.21,2034.21,2034.21,2034.21,6496728,0
2005-06-17,2054.02,2054.02,2054.02,2054.02,8654578,0
2005-06-20,2055.9,2055.9,2055.9,2055.9,4923448,0
2005-06-21,2058.6,2058.6,2058.6,2058.6,8497995,0
2005-06-22,2090.33,2090.33,2090.33,2090.33,10837229,0
2005-06-23,2080.62,2080.62,2080.62,2080.62,7946763,0
2005-06-24,2055.73,2055.73,2055.73,2055.73,7496381,0
2005-06-27,2040.48,2040.48,2040.48,2040.48,6099455,0
2005-06-28,2059.62,2059.62,2059.62,2059.62,6279715,0
2005-06-29,2055.31,2055.31,2055.31,2055.31,8798734,0
2005-06-30,2077.56,2077.56,2077.56,2077.56,11332526,0
2005-07-01,2100,2100,2100,2100,9527670,0
2005-07-04,2120.41,2120.41,2120.41,2120.41,9397884,0
2005-07-05,2107.02,2107.02,2107.02,2107.02,11438265,0
2005-07-06,2124.43,2124.43,2124.43,2124.43,7950183,0
2005-07-07,2095.05,2095.05,2095.05,2095.05,12347154,0
2005-07-08,2123.06,2123.06,2123.06,2123.06,7065113,0
2005-07-11,2121.36,2121.36,2121.36,2121.36,4980191,0
2005-07-12,2152.79,2152.79,2152.79,2152.79,9047767,0
2005-07-13,2174.09,2174.09,2174.09,2174.09,10967734,0
2005-07-14,2178.38,2178.38,2178.38,2178.38,8283257,0
2005-07-15,2171.18,2171.18,2171.18,2171.18,8342031,0
2005-07-18,2154.53,2154.53,2154.53,2154.53,4942348,0
2005-07-19,2166.49,2166.49,2166.49,2166.49,7352797,0
2005-07-20,2186.54,2186.54,2186.54,2186.54,9930634,0
2005-07-21,2174.22,2174.22,2174.22,2174.22,8141377,0
2005-07-22,2158.01,2158.01,2158.01,2158.01,5979287,0
2005-07-25,2177.01,2177.01,2177.01,2177.01,6011234,0
2005-07-26,2191.78,2191.78,2191.78,2191.78,6239072,0
2005-07-27,2212.79,2212.79,2212.79,2212.79,8468580,0
2005-07-28,2245.69,2245.69,2245.69,2245.69,10288694,0
2005-07-29,2265,2265,2265,2265,12412133,0
2005-08-01,2286.36,2286.36,2286.36,2286.36,6217005,0
2005-08-02,2333.96,2333.96,2333.96,2333.96,9161167,0
2005-08-03,2298.02,2298.02,2298.02,2298.02,9148877,0
2005-08-04,2302.38,2302.38,2302.38,2302.38,7583894,0
2005-08-05,2302.15,2302.15,2302.15,2302.15,4279644,0
2005-08-08,2340.8,2340.8,2340.8,2340.8,6676924,0
2005-08-09,2337.31,2337.31,2337.31,2337.31,6203038,0
2005-08-10,2312.39,2312.39,2312.39,2312.39,5398824,0
2005-08-11,2307.2,2307.2,2307.2,2307.2,8982592,0
2005-08-12,2290.64,2290.64,2290.64,2290.64,7400870,0
2005-08-16,2316.66,2316.66,2316.66,2316.66,10118106,0
2005-08-17,2301.2,2301.2,2301.2,2301.2,5287557,0
2005-08-18,2269.77,2269.77,2269.77,2269.77,4875362,0
2005-08-19,2269.25,2269.25,2269.25,2269.25,6311954,0
2005-08-22,2282.4,2282.4,2282.4,2282.4,3960807,0
2005-08-23,2283.77,2283.77,2283.77,2283.77,4749116,0
2005-08-24,2282.3,2282.3,2282.3,2282.3,6931082,0
2005-08-25,2276.73,2276.73,2276.73,2276.73,6277866,0
2005-08-26,2302.71,2302.71,2302.71,2302.71,6753550,0
2005-08-29,2318.03,2318.03,2318.03,2318.03,3172956,0
