Date,Open,High,Low,Close,Volume,OpenInt
2016-05-19,12950,13060,12760,12810,53376,0
2016-05-20,12770,12860,12730,12860,12142,0
2016-05-23,12790,12790,12620,12790,6232,0
2016-05-24,12750,12750,12660,12680,7673,0
2016-05-25,12860,12890,12820,12840,2924,0
2016-05-26,12940,12950,12810,12810,1668,0
2016-05-27,12880,12920,12850,12880,540,0
2016-05-30,12980,13080,12930,13080,1893,0
2016-05-31,13020,13210,13020,13210,966,0
2016-06-01,13130,13140,12990,13010,1408,0
2016-06-02,12940,12940,12730,12760,6599,0
2016-06-03,12790,12840,12730,12780,1011,0
2016-06-06,12590,12740,12510,12740,12442,0
2016-06-07,12810,12840,12740,12830,4015,0
2016-06-08,12830,12920,12760,12920,883,0
2016-06-09,12900,12900,12760,12800,4499,0
2016-06-10,12800,12800,12680,12740,9124,0
2016-06-13,12760,12760,12320,12320,17544,0
2016-06-14,12270,12350,12140,12220,12987,0
2016-06-16,12270,12270,11920,11940,25339,0
2016-06-17,11940,12140,11940,12030,4554,0
2016-06-20,12100,12320,12100,12260,1499,0
2016-06-21,12260,12470,12150,12450,3404,0
2016-06-22,12380,12420,12330,12420,37,0
2016-06-23,12400,12510,12400,12510,1861,0
2016-06-24,12610,12620,11500,11630,10254,0
2016-06-27,11770,11840,11700,11780,97,0
2016-06-28,11670,11910,11620,11870,3203,0
2016-06-29,11990,12090,11920,12070,25837,0
2016-06-30,12100,12180,12050,12070,7307,0
2016-07-01,12140,12160,12090,12110,1152,0
2016-07-04,12070,12190,12070,12190,36,0
2016-07-05,12160,12160,12130,12130,70,0
2016-07-06,11990,11990,11800,11860,8253,0
2016-07-07,11930,11930,11830,11850,716,0
2016-07-08,11910,11910,11720,11750,4756,0
2016-07-11,12000,12160,11990,12140,194,0
2016-07-12,12140,12440,12140,12390,4277,0
2016-07-13,12700,12700,12470,12470,504,0
2016-07-14,12540,12600,12490,12600,451,0
2016-07-15,12590,12630,12590,12630,22,0
2016-07-19,12610,12700,12610,12700,3020,0
2016-07-20,12610,12720,12610,12710,156,0
2016-07-21,12790,12870,12790,12810,779,0
2016-07-22,12750,12750,12670,12670,320,0
2016-07-25,12740,12800,12700,12700,192,0
2016-07-26,12680,12680,12490,12490,222,0
2016-07-27,12730,12730,12620,12660,2350,0
2016-07-28,12550,12570,12500,12520,870,0
2016-07-29,12430,12620,12400,12620,1814,0
2016-08-01,12620,12630,12540,12630,336,0
2016-08-02,12620,12620,12430,12430,3443,0
2016-08-03,12230,12270,12160,12160,2360,0
2016-08-04,12240,12270,12120,12270,158,0
2016-08-05,12330,12330,12260,12260,28,0
2016-08-08,12410,12420,12380,12420,1578,0
2016-08-09,12460,12580,12460,12570,6584,0
2016-08-10,12580,12590,12500,12550,285,0
2016-08-12,12620,12660,12620,12660,11,0
