Date,Open,High,Low,Close,Volume,OpenInt
2007-07-06,1130,1133,1053,1130,647,0
2007-07-09,1149,1244.99,1145,1237,982,0
2007-07-10,1247,1289,1247,1266,628,0
2007-07-11,1283,1283.5,1260,1281.5,289,0
2007-07-12,1280,1280,1183,1215,258,0
2007-07-13,1227,1227,1150.02,1197.99,206,0
2007-07-16,1198.99,1198.99,1153,1196,153,0
2007-07-17,1189,1189,1150,1160,244,0
2007-07-18,1174.99,1174.99,1140,1168.99,134,0
2007-07-19,1157,1180,1157,1179,101,0
2007-07-20,1184,1187.9,1166,1180.5,173,0
2007-07-23,1179,1180,1170,1170,89,0
2007-07-24,1179.9,1179.9,1170.5,1170.5,50,0
2007-07-25,1183,1183,1155.5,1155.5,110,0
2007-07-26,1157,1158,1136,1136,172,0
2007-07-27,1130.1,1130.1,1100,1110,301,0
2007-07-30,1112,1137,1112,1135,33,0
2007-07-31,1140,1149.99,1121,1149.99,65,0
2007-08-01,1145,1145,1115,1134.9,68,0
2007-08-02,1119,1123,1100,1123,69,0
2007-08-03,1142,1142,1115,1115.5,51,0
2007-08-06,1122.5,1122.5,1090,1090,216,0
2007-08-07,1109,1109,1102,1102.01,55,0
2007-08-08,1101,1110,1095.01,1103,93,0
2007-08-09,1120,1120,1104,1112,73,0
2007-08-10,1095.15,1095.15,1066,1066,180,0
2007-08-13,1070,1090,1062,1090,176,0
2007-08-14,1095,1099,1090,1095.11,50,0
2007-08-16,1066,1066,1030,1037.09,142,0
2007-08-17,991,1040,991,1040,230,0
2007-08-20,1049,1066,1044.9,1062,89,0
2007-08-21,1050,1055,1031.5,1041,48,0
2007-08-22,1055,1070,1040,1070,20,0
2007-08-23,1092,1092,1070,1070,29,0
2007-08-24,1074,1090,1060.01,1085,74,0
2007-08-27,1085,1099,1082.6,1099,113,0
2007-08-28,1100,1107,1090,1090,19,0
2007-08-29,1089.97,1089.97,1070,1070,57,0
2007-08-30,1089,1120,1089,1109,35,0
2007-08-31,1100,1104,1080,1080,15,0
2007-09-03,1090,1095,1090,1095,4,0
2007-09-04,1087,1089,1085,1085,7,0
2007-09-05,1089,1094,1080.5,1087,64,0
2007-09-06,1094.99,1100,1092,1092,101,0
2007-09-07,1092,1092,1069,1069,139,0
2007-09-10,1066.99,1066.99,1055.5,1056,72,0
2007-09-11,1056,1066,1056,1065,22,0
2007-09-12,1067,1068,1060,1068,67,0
2007-09-13,1068,1069,1068,1068,37,0
2007-09-14,1063.03,1068,1060,1060,52,0
2007-09-17,1079,1080,1079,1080,2,0
2007-09-18,1067,1067,1061,1061,46,0
2007-09-19,1070,1090,1070,1087,106,0
2007-09-21,1064,1090,1064,1087.99,32,0
2007-09-24,1085,1085,1075,1077.99,69,0
2007-09-25,1074.01,1084,1072,1074.1,21,0
2007-09-26,1076,1076,1071,1071,39,0
2007-09-27,1072,1083,1072,1083,19,0
2007-09-28,1083,1088.5,1065,1087.98,322,0
2007-10-01,1073,1080,1072,1072,10,0
2007-10-02,1085.01,1088.5,1065,1066,70,0
2007-10-03,1078,1078,1066.02,1066.02,101,0
2007-10-04,1067,1070,1060,1061.99,111,0
2007-10-05,1063,1063,1059,1060,58,0
2007-10-08,1060,1066,1060,1066,88,0
2007-10-09,1066,1067,1059,1061,72,0
2007-10-10,1067,1067,1061,1065,67,0
2007-10-11,1067,1071.99,1060,1071.99,83,0
2007-10-12,1070,1074,1059,1074,127,0
2007-10-15,1069.3,1074,1069.2,1073,59,0
2007-10-16,1073,1073,1069,1070,25,0
2007-10-17,1070,1070,1065,1065,11,0
2007-10-18,1067,1070,1054,1054,149,0
2007-10-19,1060,1065,1054,1054.21,72,0
2007-10-22,1060,1064,1056,1064,78,0
2007-10-23,1070,1073,1070,1073,24,0
2007-10-24,1073,1073,1065,1073,78,0
2007-10-25,1073,1079.9,1073,1073,71,0
2007-10-26,1076.01,1085,1076.01,1083,80,0
2007-10-29,1085,1088,1083,1087,113,0
2007-10-30,1088,1097,1084.1,1097,132,0
2007-10-31,1097,1099,1091.1,1096,118,0
2007-11-02,1092.1,1093,1070,1088,62,0
2007-11-05,1070,1070,1052.5,1060,133,0
2007-11-06,1061.5,1064,1051,1052,216,0
2007-11-07,1052,1060,1047,1047,91,0
2007-11-08,1035,1047,1022,1040,126,0
2007-11-09,1040,1046,1025,1030,147,0
2007-11-12,1024.98,1024.98,1015.01,1016,51,0
2007-11-13,1015,1017,1000,1015,128,0
2007-11-14,1010.03,1015,1000,1008.99,216,0
2007-11-15,1009,1009,993,993,67,0
2007-11-16,995,1000,982.11,998,53,0
2007-11-19,1000,1002,995,995,94,0
2007-11-20,1028,1028,996,996,51,0
2007-11-21,1000,1000,975,996,36,0
2007-11-22,975,1000.05,975,975.01,48,0
2007-11-23,989.99,998,989.99,998,4,0
2007-11-26,992.5,995,990,990,36,0
2007-11-27,990,990,970,990,39,0
2007-11-28,993.99,993.99,980,990,61,0
2007-11-29,994,1007.4,990,1007.4,61,0
2007-11-30,1000,1010,999,1000,179,0
2007-12-03,1010,1010,996,1000,113,0
2007-12-04,1000,1005,998,998,126,0
2007-12-05,1001,1002,999,999,77,0
2007-12-06,1001,1002,990,1001.5,36,0
2007-12-07,1002.01,1002.01,991,991,67,0
2007-12-10,1004,1004,996,999,42,0
2007-12-11,999,999,982,983,89,0
2007-12-12,980,980,974,979,43,0
2007-12-13,970,971,960,960,32,0
2007-12-14,965,965,940,964,44,0
2007-12-17,945,945,931,940,90,0
2007-12-18,921.1,930,921.05,930,106,0
2007-12-19,934,934,900,932,79,0
2007-12-20,930,931,920,925,156,0
2007-12-21,922,949,922,943,120,0
2007-12-27,955.02,976,955.02,970,68,0
2007-12-28,972.01,986,972,986,9,0
2008-01-02,996.99,996.99,990,992,19,0
2008-01-03,972.4,972.4,940,970,38,0
2008-01-04,980,983,960,965,79,0
2008-01-07,950,950,940,940,38,0
2008-01-08,960,960,939,939,28,0
2008-01-09,940.01,946,920,920,96,0
2008-01-10,921,930,910,920,57,0
2008-01-11,905,906.6,905,906.5,8,0
2008-01-14,915.21,918,900,911,63,0
2008-01-15,912,912,895,895,13,0
2008-01-16,805,850,805,820,62,0
2008-01-17,890,890,820,820,83,0
2008-01-18,849.99,880,849.99,880,39,0
2008-01-21,850,850,825,840,66,0
2008-01-22,811.11,825,811.11,820,100,0
2008-01-23,850,850,820.01,834,18,0
2008-01-24,855,855,841,855,14,0
2008-01-25,865,867,858,858,24,0
2008-01-28,830.22,859,830.22,859,40,0
2008-01-29,850,862,850,862,10,0
2008-01-30,880,890,880,890,9,0
2008-01-31,870,876,870,876,3,0
2008-02-01,890,890,890,890,4,0
2008-02-04,900.02,910,900.02,910,110,0
2008-02-05,903,905,883,890,74,0
2008-02-06,880,899,854,899,73,0
2008-02-07,900,901,899,900,58,0
2008-02-08,919.1,924.4,911.09,924.4,25,0
2008-02-11,920,950,920,949.99,116,0
2008-02-12,944,947,944,947,3,0
2008-02-13,945,958,940,940,43,0
2008-02-14,940,950,934,935,16,0
2008-02-15,935.5,936,935,935,19,0
2008-02-18,940.01,950,931.01,940,50,0
2008-02-19,934.5,934.5,931.1,932,16,0
2008-02-20,934,934,930,930,40,0
2008-02-21,920,940,920,930,46,0
2008-02-22,939,939,935,935,25,0
2008-02-25,940,940,932,939,12,0
2008-02-26,940,940,925,925,38,0
2008-02-27,940,942,940,942,4,0
2008-02-28,945,951,944,944,46,0
2008-02-29,940,940,940,940,7,0
2008-03-03,930,930,930,930,11,0
2008-03-04,927,931,927,927,23,0
2008-03-05,920,920,912,920,69,0
2008-03-06,925,925,915,915.1,119,0
2008-03-07,914.5,915.01,914.5,915,19,0
2008-03-10,915,915.01,915,915,37,0
2008-03-11,913,915,901,915,32,0
2008-03-12,916,916,916,916,2,0
2008-03-13,920,920,900,920,16,0
2008-03-14,920,920,920,920,2,0
2008-03-17,910,910,900,905,29,0
2008-03-18,911,911,905,910,42,0
2008-03-19,901.1,902.01,900,900,40,0
2008-03-20,900,905.1,900,905.1,2,0
2008-03-25,900,905.1,900,901,47,0
2008-03-26,902,902,900,901,56,0
2008-03-27,910.03,910.03,910.03,910.03,2,0
2008-03-28,910,915,910,910.03,28,0
2008-03-31,910,912,903,903,21,0
2008-04-01,929,929,920,920,17,0
2008-04-02,923,923,920,920,12,0
2008-04-03,911,912,907.01,907.01,6,0
2008-04-04,910,910,904,904.15,32,0
2008-04-07,905,905,900,905,31,0
2008-04-08,901,905,900,902,49,0
2008-04-09,910,910,900,900.01,24,0
2008-04-10,906,906,900,906,17,0
2008-04-11,900,900.02,895.5,900,46,0
2008-04-14,896,896,881.5,890,21,0
2008-04-15,900,900,890,899.5,11,0
2008-04-16,890,895,890,891,10,0
2008-04-17,890.1,890.1,887,888,14,0
2008-04-18,886.1,900,886.1,900,21,0
2008-04-21,897.5,897.5,887.1,887.1,12,0
2008-04-22,889,889,870,870,18,0
2008-04-23,867,870,862.23,870,22,0
2008-04-24,870,871.11,869,870,32,0
2008-04-25,870.01,900,870,900,12,0
2008-04-28,875,875,875,875,4,0
2008-04-29,880,890,875.15,890,14,0
2008-04-30,894.9,895,894,894,11,0
2008-05-05,890,890,889,889,162,0
