Date,Open,High,Low,Close,Volume,OpenInt
2011-01-05,4.53,4.53,4.53,4.53,0,0
2011-01-06,4.53,4.53,4.53,4.53,0,0
2011-01-07,4.53,4.53,4.53,4.53,0,0
2011-01-10,4.53,4.53,4.53,4.53,0,0
2011-01-11,4.53,4.53,4.53,4.53,0,0
2011-01-12,4.53,4.53,4.53,4.53,0,0
2011-01-13,4.52,4.52,4.52,4.52,0,0
2011-01-14,4.52,4.52,4.52,4.52,0,0
2011-01-17,4.52,4.52,4.52,4.52,0,0
2011-01-18,4.52,4.52,4.52,4.52,0,0
2011-01-19,4.52,4.52,4.52,4.52,0,0
2011-01-20,4.51,4.51,4.51,4.51,0,0
2011-01-21,4.38,4.38,4.38,4.38,0,0
2011-01-24,4.38,4.38,4.38,4.38,0,0
2011-01-25,4.39,4.39,4.39,4.39,0,0
2011-01-26,4.38,4.38,4.38,4.38,0,0
2011-01-27,4.38,4.38,4.38,4.38,0,0
2011-01-28,4.38,4.38,4.38,4.38,0,0
2011-01-31,4.38,4.38,4.38,4.38,0,0
2011-02-01,4.38,4.38,4.38,4.38,0,0
2011-02-02,4.38,4.38,4.38,4.38,0,0
2011-02-03,4.38,4.38,4.38,4.38,0,0
2011-02-04,4.38,4.38,4.38,4.38,0,0
2011-02-07,4.38,4.38,4.38,4.38,0,0
2011-02-08,4.38,4.38,4.38,4.38,0,0
2011-02-09,4.38,4.38,4.38,4.38,0,0
2011-02-10,4.38,4.38,4.38,4.38,0,0
2011-02-11,4.38,4.38,4.38,4.38,0,0
2011-02-14,4.38,4.38,4.38,4.38,0,0
2011-02-15,4.38,4.38,4.38,4.38,0,0
2011-02-16,4.38,4.38,4.38,4.38,0,0
2011-02-17,4.38,4.38,4.38,4.38,0,0
2011-02-18,4.38,4.38,4.38,4.38,0,0
2011-02-21,4.38,4.38,4.38,4.38,0,0
2011-02-22,4.38,4.38,4.38,4.38,0,0
2011-02-23,4.38,4.38,4.38,4.38,0,0
2011-02-24,4.38,4.38,4.38,4.38,0,0
2011-02-25,4.38,4.38,4.38,4.38,0,0
2011-02-28,4.38,4.38,4.38,4.38,0,0
2011-03-01,4.38,4.38,4.38,4.38,0,0
2011-03-02,4.38,4.38,4.38,4.38,0,0
2011-03-03,4.37,4.37,4.37,4.37,0,0
2011-03-04,4.36,4.36,4.36,4.36,0,0
2011-03-07,4.37,4.37,4.37,4.37,0,0
2011-03-08,4.37,4.37,4.37,4.37,0,0
2011-03-09,4.37,4.37,4.37,4.37,0,0
2011-03-10,4.37,4.37,4.37,4.37,0,0
2011-03-11,4.37,4.37,4.37,4.37,0,0
2011-03-14,4.37,4.37,4.37,4.37,0,0
2011-03-15,4.38,4.38,4.38,4.38,0,0
2011-03-16,4.38,4.38,4.38,4.38,0,0
2011-03-17,4.38,4.38,4.38,4.38,0,0
2011-03-18,4.38,4.38,4.38,4.38,0,0
2011-03-21,4.37,4.37,4.37,4.37,0,0
2011-03-22,4.37,4.37,4.37,4.37,0,0
2011-03-23,4.38,4.38,4.38,4.38,0,0
2011-03-24,4.38,4.38,4.38,4.38,0,0
2011-03-25,4.37,4.37,4.37,4.37,0,0
2011-03-28,4.37,4.37,4.37,4.37,0,0
2011-03-29,4.37,4.37,4.37,4.37,0,0
2011-03-30,4.37,4.37,4.37,4.37,0,0
2011-03-31,4.37,4.37,4.37,4.37,0,0
2011-04-01,4.37,4.37,4.37,4.37,0,0
2011-04-04,4.37,4.37,4.37,4.37,0,0
2011-04-05,4.37,4.37,4.37,4.37,0,0
2011-04-06,4.37,4.37,4.37,4.37,0,0
2011-04-07,4.37,4.37,4.37,4.37,0,0
2011-04-08,4.37,4.37,4.37,4.37,0,0
2011-04-11,4.37,4.37,4.37,4.37,0,0
2011-04-12,4.37,4.37,4.37,4.37,0,0
2011-04-13,4.37,4.37,4.37,4.37,0,0
2011-04-14,4.38,4.38,4.38,4.38,0,0
2011-04-15,4.37,4.37,4.37,4.37,0,0
2011-04-18,4.38,4.38,4.38,4.38,0,0
2011-04-19,4.38,4.38,4.38,4.38,0,0
2011-04-20,4.37,4.37,4.37,4.37,0,0
2011-04-21,4.38,4.38,4.38,4.38,0,0
2011-04-26,4.38,4.38,4.38,4.38,0,0
2011-04-27,4.38,4.38,4.38,4.38,0,0
2011-04-28,4.38,4.38,4.38,4.38,0,0
2011-04-29,4.38,4.38,4.38,4.38,0,0
2011-05-02,4.38,4.38,4.38,4.38,0,0
2011-05-03,4.38,4.38,4.38,4.38,0,0
2011-05-04,4.37,4.37,4.37,4.37,0,0
2011-05-05,4.38,4.38,4.38,4.38,0,0
2011-05-06,4.38,4.38,4.38,4.38,0,0
2011-05-09,4.39,4.39,4.39,4.39,0,0
2011-05-10,4.39,4.39,4.39,4.39,0,0
2011-05-11,4.39,4.39,4.39,4.39,0,0
2011-05-12,4.39,4.39,4.39,4.39,0,0
2011-05-13,4.39,4.39,4.39,4.39,0,0
2011-05-16,4.39,4.39,4.39,4.39,0,0
2011-05-17,4.39,4.39,4.39,4.39,0,0
2011-05-18,4.39,4.39,4.39,4.39,0,0
2011-05-19,4.38,4.38,4.38,4.38,0,0
2011-05-20,4.39,4.39,4.39,4.39,0,0
2011-05-23,4.39,4.39,4.39,4.39,0,0
2011-05-24,4.39,4.39,4.39,4.39,0,0
2011-05-25,4.39,4.39,4.39,4.39,0,0
2011-05-26,4.39,4.39,4.39,4.39,0,0
2011-05-27,4.39,4.39,4.39,4.39,0,0
2011-05-30,4.39,4.39,4.39,4.39,0,0
2011-05-31,4.39,4.39,4.39,4.39,0,0
2011-06-01,4.39,4.39,4.39,4.39,0,0
2011-06-02,4.39,4.39,4.39,4.39,0,0
2011-06-03,4.39,4.39,4.39,4.39,0,0
2011-06-06,4.39,4.39,4.39,4.39,0,0
2011-06-07,4.39,4.39,4.39,4.39,0,0
2011-06-08,4.39,4.39,4.39,4.39,0,0
2011-06-09,4.39,4.39,4.39,4.39,0,0
2011-06-10,4.39,4.39,4.39,4.39,0,0
2011-06-13,4.39,4.39,4.39,4.39,0,0
2011-06-14,4.39,4.39,4.39,4.39,0,0
2011-06-15,4.39,4.39,4.39,4.39,0,0
2011-06-16,4.38,4.38,4.38,4.38,0,0
2011-06-17,4.39,4.39,4.39,4.39,0,0
2011-06-20,4.39,4.39,4.39,4.39,0,0
2011-06-21,4.39,4.39,4.39,4.39,0,0
2011-06-22,4.39,4.39,4.39,4.39,0,0
2011-06-23,4.39,4.39,4.39,4.39,0,0
2011-06-24,4.39,4.39,4.39,4.39,0,0
2011-06-27,4.39,4.39,4.39,4.39,0,0
2011-06-28,4.39,4.39,4.39,4.39,0,0
2011-06-29,4.39,4.39,4.39,4.39,0,0
2011-06-30,4.39,4.39,4.39,4.39,0,0
2011-07-01,4.39,4.39,4.39,4.39,0,0
2011-07-04,4.39,4.39,4.39,4.39,0,0
2011-07-05,4.39,4.39,4.39,4.39,0,0
2011-07-06,4.39,4.39,4.39,4.39,0,0
2011-07-07,4.38,4.38,4.38,4.38,0,0
2011-07-08,4.38,4.38,4.38,4.38,0,0
2011-07-11,4.37,4.37,4.37,4.37,0,0
2011-07-12,4.37,4.37,4.37,4.37,0,0
2011-07-13,4.37,4.37,4.37,4.37,0,0
2011-07-14,4.37,4.37,4.37,4.37,0,0
2011-07-15,4.37,4.37,4.37,4.37,0,0
2011-07-18,4.36,4.36,4.36,4.36,0,0
